pdg_rank,gene_name,best_score,mean_score,n_ppi,best_rank,ppi_list
1,SPTAN1,0.9999428987503052,0.9996967216332754,6,1,"CPDB,IREF,IREF_2015,MULTINET,PCNET,STRING"
2,ITPR1,0.9998857975006104,0.9994165102640787,6,4,"CPDB,IREF,IREF_2015,MULTINET,PCNET,STRING"
3,SOS1,0.9998101592063904,0.9995775520801544,6,1,"CPDB,IREF,IREF_2015,MULTINET,PCNET,STRING"
4,DSP,0.9999411106109619,0.9995996952056885,5,2,"CPDB,IREF,IREF_2015,MULTINET,PCNET"
5,SPTBN1,0.9999327659606934,0.9995257139205933,5,4,"CPDB,IREF,IREF_2015,MULTINET,PCNET"
6,FN1,0.9998898506164551,0.9994938254356385,5,6,"CPDB,IREF,IREF_2015,PCNET,STRING"
7,TLN1,0.9998565912246704,0.99951012134552,5,13,"CPDB,IREF,MULTINET,PCNET,STRING"
8,PRKDC,0.9998558759689331,0.9995005011558533,5,1,"CPDB,IREF,IREF_2015,MULTINET,PCNET"
9,FLNC,0.999840259552002,0.9992594838142395,5,5,"CPDB,IREF,IREF_2015,MULTINET,PCNET"
10,GLI3,0.9998014569282532,0.998995327949524,5,3,"CPDB,IREF,IREF_2015,PCNET,STRING"
11,PTK2B,0.9997900128364563,0.9991626501083374,5,32,"CPDB,IREF,IREF_2015,MULTINET,STRING"
12,APOB,0.9997746348381042,0.9994141101837158,5,4,"IREF,IREF_2015,MULTINET,PCNET,STRING"
13,INPPL1,0.9997654557228088,0.9993524789810181,5,38,"CPDB,IREF,MULTINET,PCNET,STRING"
14,NOS1,0.9997653365135193,0.9994660973548889,5,16,"CPDB,IREF_2015,MULTINET,PCNET,STRING"
15,NRIP1,0.9997101426124573,0.998991048336029,5,35,"CPDB,IREF,IREF_2015,MULTINET,STRING"
16,DMD,0.9997047781944275,0.9995432138442993,5,5,"CPDB,IREF,IREF_2015,PCNET,STRING"
17,SMC4,0.9995710253715515,0.9990687966346741,5,19,"IREF,IREF_2015,MULTINET,PCNET,STRING"
18,PLEC,0.9999363422393799,0.9996819794178009,4,2,"CPDB,IREF,IREF_2015,MULTINET"
19,USP9X,0.9998738765716553,0.9995141476392746,4,9,"CPDB,IREF,IREF_2015,PCNET"
20,TTN,0.9998680353164673,0.9995016753673553,4,12,"CPDB,IREF,MULTINET,PCNET"
21,CTNNA1,0.9998494386672974,0.9994245022535324,4,9,"CPDB,IREF,PCNET,STRING"
22,HDAC4,0.9998443126678467,0.9995459616184235,4,4,"IREF,IREF_2015,MULTINET,PCNET"
23,HSPG2,0.9998395442962646,0.9993836283683777,4,18,"CPDB,IREF,IREF_2015,STRING"
24,COL1A2,0.9998243451118469,0.999551460146904,4,3,"CPDB,IREF,IREF_2015,PCNET"
25,IQGAP1,0.9998205304145813,0.9994290918111801,4,16,"CPDB,IREF,IREF_2015,STRING"
26,UTRN,0.9998189806938171,0.9994321912527084,4,22,"CPDB,IREF,MULTINET,PCNET"
27,DLG1,0.9998106360435486,0.9994684904813766,4,7,"IREF_2015,MULTINET,PCNET,STRING"
28,TNRC6A,0.9997885823249817,0.9989297837018967,4,17,"CPDB,IREF,MULTINET,STRING"
29,TAF1,0.9997672438621521,0.9993753135204315,4,12,"CPDB,IREF_2015,MULTINET,PCNET"
30,MAPT,0.999767005443573,0.9994940608739853,4,21,"IREF_2015,MULTINET,PCNET,STRING"
31,HUWE1,0.9997424483299255,0.9992813467979431,4,16,"CPDB,IREF,IREF_2015,MULTINET"
32,RYR2,0.9997392296791077,0.9990133345127106,4,19,"CPDB,IREF,IREF_2015,MULTINET"
33,RXRA,0.9997369647026062,0.9989915192127228,4,43,"CPDB,IREF,IREF_2015,STRING"
34,MYCBP2,0.9997326731681824,0.9995091408491135,4,4,"CPDB,IREF,IREF_2015,MULTINET"
35,NOTCH3,0.9997270703315735,0.999462902545929,4,9,"CPDB,IREF_2015,PCNET,STRING"
36,DST,0.9997056126594543,0.9993137270212173,4,27,"CPDB,IREF,IREF_2015,PCNET"
37,TP53BP1,0.9996850490570068,0.9993318766355515,4,10,"IREF,IREF_2015,MULTINET,STRING"
38,VCAN,0.999683141708374,0.998645156621933,4,21,"IREF,IREF_2015,MULTINET,PCNET"
39,MAP3K5,0.999671220779419,0.9994439035654068,4,35,"CPDB,IREF_2015,MULTINET,STRING"
40,CNOT1,0.9996433258056641,0.9994019567966461,4,42,"CPDB,IREF_2015,MULTINET,PCNET"
41,LRP1,0.9996035695075989,0.9992313385009766,4,25,"CPDB,IREF,IREF_2015,PCNET"
42,RASA1,0.999894380569458,0.9995792905489603,3,8,"CPDB,IREF_2015,STRING"
43,WNK1,0.9998873472213745,0.9990149736404419,3,10,"CPDB,IREF,MULTINET"
44,ITPR3,0.999874472618103,0.999642809232076,3,12,"CPDB,PCNET,STRING"
45,ROCK1,0.9998739957809448,0.9991056720415751,3,5,"IREF,IREF_2015,STRING"
46,MYLK,0.99986732006073,0.9996076226234436,3,6,"IREF_2015,PCNET,STRING"
47,PRKD1,0.9998284578323364,0.998945156733195,3,5,"CPDB,IREF,IREF_2015"
48,EEF1A1,0.9998121857643127,0.9995919068654379,3,5,"CPDB,MULTINET,PCNET"
49,TCF4,0.999811589717865,0.9994447231292725,3,12,"IREF_2015,PCNET,STRING"
50,CUL1,0.9998109936714172,0.9987897276878357,3,6,"IREF,MULTINET,PCNET"
51,GRIA1,0.9997981190681458,0.9992742538452148,3,17,"CPDB,IREF,IREF_2015"
52,PIK3CG,0.999797523021698,0.9996007482210795,3,2,"MULTINET,PCNET,STRING"
53,DYNC1H1,0.9997939467430115,0.9994462927182516,3,9,"CPDB,IREF,IREF_2015"
54,COL4A5,0.9997937083244324,0.9990567167599996,3,30,"CPDB,IREF,IREF_2015"
55,MCM7,0.9997747540473938,0.9995083411534628,3,20,"IREF_2015,MULTINET,STRING"
56,HTT,0.9997432827949524,0.9994233250617981,3,20,"CPDB,IREF_2015,MULTINET"
57,LRP2,0.9997404217720032,0.998889704545339,3,46,"CPDB,IREF,IREF_2015"
58,MAP1B,0.9997360110282898,0.9989399313926697,3,8,"IREF,IREF_2015,PCNET"
59,GRM1,0.9997244477272034,0.9992214639981588,3,45,"CPDB,IREF,PCNET"
60,CHD3,0.9997130036354065,0.9989056785901388,3,18,"IREF,IREF_2015,MULTINET"
61,EP400,0.9996943473815918,0.9995870788892111,3,21,"CPDB,MULTINET,STRING"
62,MAP2,0.9996774196624756,0.999513844648997,3,14,"CPDB,IREF_2015,MULTINET"
63,COL5A1,0.999672532081604,0.9989972710609436,3,46,"CPDB,IREF,IREF_2015"
64,DLG2,0.9996589422225952,0.9992092251777649,3,25,"IREF_2015,MULTINET,PCNET"
65,LRRK2,0.9996449947357178,0.9986661473910013,3,28,"CPDB,IREF,PCNET"
66,TJP1,0.9996320009231567,0.999607264995575,3,32,"CPDB,PCNET,STRING"
67,EPHB1,0.9996240139007568,0.9996019601821899,3,33,"MULTINET,PCNET,STRING"
68,FBN1,0.9996238946914673,0.9986278017361959,3,67,"CPDB,IREF,IREF_2015"
69,SHC1,0.9996082186698914,0.9994822144508362,3,30,"CPDB,MULTINET,PCNET"
70,PCNT,0.9995193481445312,0.9985426266988119,3,76,"CPDB,IREF,IREF_2015"
71,LAMB1,0.9994756579399109,0.9991130034128824,3,42,"IREF,PCNET,STRING"
72,ABCA1,0.9994722008705139,0.9991763631502787,3,24,"CPDB,IREF,IREF_2015"
73,SIN3A,0.9990887641906738,0.9986423254013062,3,54,"IREF,IREF_2015,MULTINET"
74,SVIL,0.9999276399612427,0.9996547102928162,2,5,"CPDB,IREF_2015"
75,EPHA2,0.9999074935913086,0.999862939119339,2,1,"CPDB,PCNET"
76,ACTN4,0.9998944997787476,0.9996488690376282,2,7,"CPDB,STRING"
77,ROBO1,0.9998880624771118,0.9985517859458923,2,3,"IREF,STRING"
78,PARD3,0.9998792409896851,0.9994973242282867,2,11,"CPDB,IREF_2015"
79,GRIA2,0.9998655319213867,0.9993120431900024,2,7,"IREF_2015,STRING"
80,KPNB1,0.9998506307601929,0.9995887875556946,2,3,"IREF_2015,MULTINET"
81,TGFBR1,0.9998475313186646,0.9997466206550598,2,10,"MULTINET,STRING"
82,CACNA1C,0.9998277425765991,0.9996094107627869,2,11,"PCNET,STRING"
83,ACACA,0.9998242259025574,0.9996079504489899,2,21,"CPDB,MULTINET"
84,SPTBN2,0.9998154044151306,0.9996301531791687,2,24,"CPDB,PCNET"
85,NEB,0.9998070597648621,0.9994101226329803,2,18,"CPDB,IREF"
86,ALB,0.999786913394928,0.9997565150260925,2,10,"CPDB,PCNET"
87,TOPBP1,0.9997816681861877,0.9995647668838501,2,29,"CPDB,IREF_2015"
88,SEC16A,0.9997814297676086,0.9994310438632965,2,14,"CPDB,IREF"
89,PLG,0.9997749924659729,0.9991636872291565,2,10,"IREF,MULTINET"
90,HIPK2,0.9997619986534119,0.9996152520179749,2,18,"CPDB,IREF_2015"
91,ARHGAP32,0.9997590184211731,0.9985951781272888,2,42,"CPDB,IREF"
92,COL4A4,0.9997279047966003,0.9988031089305878,2,50,"CPDB,IREF"
93,SHH,0.9997273087501526,0.9996313750743866,2,27,"PCNET,STRING"
94,AHNAK,0.9997209906578064,0.9993548393249512,2,20,"CPDB,IREF"
95,LAMA1,0.9997130036354065,0.9986474812030792,2,54,"CPDB,IREF"
96,LCP2,0.9997126460075378,0.9995981156826019,2,29,"PCNET,STRING"
97,FOS,0.9996932744979858,0.9996625781059265,2,19,"PCNET,STRING"
98,FANCM,0.9996758699417114,0.9992901086807251,2,37,"IREF_2015,STRING"
99,NUP205,0.9996750354766846,0.999558836221695,2,48,"CPDB,MULTINET"
100,GOLGB1,0.9996640682220459,0.9992201626300812,2,63,"CPDB,IREF_2015"
101,HDLBP,0.999663233757019,0.999604731798172,2,25,"MULTINET,STRING"
102,NRP1,0.9996545314788818,0.9995461404323578,2,40,"CPDB,STRING"
103,PTPRZ1,0.9996532201766968,0.9996035397052765,2,7,"CPDB,IREF_2015"
104,TRIO,0.9996459484100342,0.9991271197795868,2,27,"IREF,PCNET"
